ID,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado,Rol,Sexo,Edad
2017-0100,2017,8,7,calle,republica bolivariana de venezuela,3,-58.3967447,-34.61512051,moto,objeto fijo,pasajero_acompañante,F,16
2017-0101,2017,8,10,avenida,"lacroze, federico av.",13,-58.44537508,-34.57084818,peaton,multiple,peaton,F,61
2017-0102,2017,8,1,avenida,"iriarte, gral. av.",4,-58.40056767,-34.6510708,peaton,de_carga,peaton,M,46
2017-0104,2017,8,9,avenida,9 de julio av.,1,-58.38109568,-34.61853244,peaton,de_carga,peaton,F,18
2017-0106,2017,8,19,calle,fray justo santamaria de oro,14,-58.42533612,-34.58035258,peaton,autobus,peaton,F,85
2017-0107,2017,9,11,avenida,del libertador av.,13,-58.46062311,-34.54395182,moto,de_carga,conductor,M,41
2017-0108,2017,9,4,gral paz,"paz, gral. av.",12,-58.49491054,-34.54795581,objeto fijo,auto,pasajero_acompañante,M,17
2017-0108,2017,9,4,gral paz,"paz, gral. av.",12,-58.49491054,-34.54795581,objeto fijo,auto,pasajero_acompañante,M,10
2017-0109,2017,9,21,avenida,directorio av.,7,-58.47130269,-34.63665402,moto,auto,conductor,M,21
2017-0110,2017,9,14,avenida,lavalle,1,-58.370488,-34.60189492,peaton,autobus,peaton,M,56
2017-0111,2017,9,18,calle,uspallata,4,-58.42023854,-34.6423411,peaton,de_carga,peaton,F,79
2017-0112,2017,9,9,autopista,autopista 25 de mayo,7,-58.45807401,-34.6399743,auto,objeto fijo,pasajero_acompañante,M,1
2017-0112,2017,9,9,autopista,autopista 25 de mayo,7,-58.45807401,-34.6399743,auto,objeto fijo,pasajero_acompañante,M,24
2017-0113,2017,9,6,avenida,santa fe av.,1,-58.37697717,-34.59573848,peaton,autobus,peaton,F,76
2017-0114,2017,9,2,avenida,alvear av.,2,-58.3910058,-34.5849866,auto,objeto fijo,conductor,M,26
2017-0115,2017,9,18,avenida,pavon av.,5,-58.42182126,-34.63089661,moto,bicicleta,conductor,M,34
2017-0116,2017,9,22,gral paz,"paz, gral. av.",12,-58.51389422,-34.58075791,moto,objeto fijo,conductor,M,22
2017-0118,2017,9,7,avenida,vieytes,4,-58.37585415,-34.65232158,moto,auto,pasajero_acompañante,F,26
